feature_set,is_random_control,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high,success_wilcoxon_p,any_violation_wilcoxon_p,result_file
random20_high_class_mean_00,True,32,1.0,1.0,0.0,1.0,0.9375,-0.0625,0.3637121170759201,0.29134739469736814,0.05921406880952418,0.07870497973635793,0.0,0.0,-0.15625,0.0,0.3433232605457306,0.381695955991745,,0.15729920705028502,logs/openvla_class_mean_intervention_spatial1_n32/final/class_mean_intervention_spatial1_n32_random20_high_class_mean_00_random20_high_class_mean_00.json
random20_high_class_mean_01,True,32,0.65625,1.0,0.34375,1.0,1.0,0.0,0.32824411895126104,0.27729097101837397,0.06438715965487063,0.04454893752699718,0.1875,0.5,0.0,0.0,0.31550759077072144,0.34122318029403687,0.0009111188771537128,,logs/openvla_class_mean_intervention_spatial1_n32/final/class_mean_intervention_spatial1_n32_random20_high_class_mean_01_random20_high_class_mean_01.json
random20_high_class_mean_02,True,32,0.65625,0.9375,0.28125,1.0,1.0,0.0,0.2569098165258765,0.19686313159763813,0.056844378588721156,0.052864012541249394,0.09375,0.46875,0.0,0.0,0.24339023232460022,0.271184504032135,0.012554918596966547,,logs/openvla_class_mean_intervention_spatial1_n32/final/class_mean_intervention_spatial1_n32_random20_high_class_mean_02_random20_high_class_mean_02.json
top20_high_class_mean,False,32,1.0,0.9375,-0.0625,1.0,0.65625,-0.34375,0.2414848990738392,0.20872685592621565,0.053141881711781025,0.02440050058066845,-0.15625,0.0,-0.5,-0.1875,0.23243114352226257,0.2510482370853424,0.15729920705028502,0.0009111188771537128,logs/openvla_class_mean_intervention_spatial1_n32/final/class_mean_intervention_spatial1_n32_top20_high_class_mean_top20_high_class_mean.json
