episode_id,suite,success,reward_positive,object_lift,semantic_any,first_success_stage,reward_sum,eef_displacement,eef_path_length,object_motion,f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030
chunk_01_rollout_000024,object,0,0,0,0,,0.0,0.31734880805015564,1.2978261709213257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000025,goal,1,1,0,1,1.0,1.0,0.27821096777915955,0.6704748272895813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000026,object,0,0,0,0,,0.0,0.27874863147735596,0.917030394077301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000027,object,1,1,1,1,1.0,1.0,0.30565938353538513,1.5838944911956787,0.5444527268409729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000028,object,1,1,1,1,1.0,1.0,0.3140960931777954,1.6238148212432861,0.5271725058555603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000029,object,1,1,1,1,1.0,1.0,0.2898445427417755,1.0439618825912476,0.39758968353271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000030,long,1,1,1,1,1.0,1.0,0.3804273009300232,1.4347374439239502,0.3673740029335022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000031,object,1,1,1,1,1.0,1.0,0.33423304557800293,0.9779597520828247,0.4061683118343353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000032,goal,0,0,1,1,,0.0,0.38215869665145874,1.3300199508666992,0.047528401017189026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000033,goal,1,1,1,1,1.0,1.0,0.30658426880836487,0.7761684656143188,0.2532576322555542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
