feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
submitted20_goal1_mild_alpha1p0_start20_n128_random03,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.22262020519701764,0.1834843648248352,0.04003370986902155,0.03444063270580955,0.0,0.0,-0.640625,-0.46875,0.2052522748708725,0.23998811841011047
submitted20_goal1_mild_alpha1p0_start20_n128_random05,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.21435569715686142,0.16844631492858753,0.04067510264576413,0.04202781659842003,0.0,0.0,-0.640625,-0.46875,0.20340827107429504,0.22530308365821838
submitted20_goal1_mild_alpha1p0_start20_n128_random06,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.2259836121229455,0.19933984684757888,0.04454043006990105,0.01713769453635905,0.0,0.0,-0.640625,-0.46875,0.21672506630420685,0.23524214327335358
submitted20_goal1_mild_alpha1p0_start20_n128_random07,goal,1,128,1.0,1.0,0.0,1.0,1.0,0.0,0.22909457667265087,0.20696431922260672,0.0480384633410722,0.013558592545450665,0.0,0.0,0.0,0.0,0.21250088512897491,0.24568837881088257
submitted20_goal1_mild_alpha1p5_start0_n128,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.3791386669036001,0.31555998139083385,0.04642800166038796,0.06581861039740033,0.0,0.0,-0.640625,-0.46875,0.374988853931427,0.38328850269317627
submitted20_goal1_mild_alpha1p5_start0_n128_random00,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.2472601137124002,0.1962966712890193,0.04778697981964797,0.05120178982906509,0.0,0.0,-0.640625,-0.46875,0.23410148918628693,0.26041871309280396
submitted20_goal1_mild_alpha1p5_start0_n128_random01,goal,1,128,1.0,1.0,0.0,1.0,1.0,0.0,0.31340931658633053,0.2636922560632229,0.04488134535495192,0.04721493041142821,0.0,0.0,0.0,0.0,0.30013513565063477,0.3266834616661072
submitted20_goal1_mild_alpha1p5_start0_n128_random02,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.1828380129300058,0.1532801508437842,0.03846811346011236,0.022716925901477225,0.0,0.0,-0.640625,-0.46875,0.18111729621887207,0.18455876410007477
submitted20_goal1_mild_alpha1p5_start0_n128_random03,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.29810748901218176,0.2507924202363938,0.0430310578958597,0.047163159906631336,0.0,0.0,-0.640625,-0.46875,0.28309381008148193,0.31312116980552673
submitted20_goal1_mild_alpha1p5_start0_n128_random04,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.28212790680117905,0.22513536177575588,0.04622090532211587,0.05541357447509654,0.0,0.0,-0.640625,-0.46875,0.2784152626991272,0.2858405113220215
submitted20_goal1_mild_alpha1p5_start0_n128_random05,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.270942862611264,0.2130987709388137,0.042450467561138794,0.05888195245643146,0.0,0.0,-0.640625,-0.46875,0.257813036441803,0.2840726971626282
submitted20_goal1_mild_alpha1p5_start0_n128_random06,goal,1,128,1.0,1.0,0.0,1.0,0.4453125,-0.5546875,0.1958767813630402,0.17766213009599596,0.03946879936847836,0.009684708842542022,0.0,0.0,-0.640625,-0.46875,0.1950620412826538,0.19669151306152344
submitted20_goal1_mild_alpha1p5_start0_n128_random07,goal,1,128,1.0,1.0,0.0,1.0,1.0,0.0,0.1924024015897885,0.1460696910507977,0.033663243521004915,0.042487840459216386,0.0,0.0,0.0,0.0,0.1903383582830429,0.1944664716720581
