group_col,group,method,high_episode,low_episode,progress_gap,score_delta_high_minus_low,correct
task_key,goal:5,motion_ridge,rollout_000597,rollout_000164,0.2946568708299795,0.23229515552520752,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000164,0.2946568708299795,-0.21040451526641846,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000164,0.2946568708299795,-0.019820988178253174,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000597,rollout_000164,0.2946568708299795,0.007902741432189941,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000597,rollout_000164,0.2946568708299795,0.006632030010223389,1.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000164,0.30455394075442943,0.15114080905914307,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000164,0.30455394075442943,0.23259365558624268,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000164,0.30455394075442943,-0.025949597358703613,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000164,0.30455394075442943,-0.02740490436553955,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000677,rollout_000164,0.30455394075442943,0.007902741432189941,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000677,rollout_000164,0.30455394075442943,0.006632030010223389,1.0
task_key,goal:5,full_sae_ridge,rollout_000179,rollout_000269,0.23033245718407852,0.14539781212806702,1.0
task_key,goal:5,motion_ridge,rollout_000179,rollout_000269,0.23033245718407852,0.19095027446746826,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000179,rollout_000269,0.23033245718407852,-0.13570982217788696,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000179,rollout_000269,0.23033245718407852,0.037792474031448364,1.0
task_key,goal:5,full_sae_ridge,rollout_000179,rollout_000550,0.23259551745648632,-0.14160558581352234,0.0
task_key,goal:5,motion_ridge,rollout_000179,rollout_000550,0.23259551745648632,0.2005218267440796,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000179,rollout_000550,0.23259551745648632,-0.07165676355361938,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000179,rollout_000550,0.23259551745648632,-0.01432788372039795,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000179,rollout_000550,0.23259551745648632,0.007902741432189941,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000179,rollout_000550,0.23259551745648632,0.006632030010223389,1.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000179,0.2335898069697322,-0.15533161163330078,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000179,0.2335898069697322,0.19473755359649658,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000179,0.2335898069697322,0.012463212013244629,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000179,0.2335898069697322,-0.0555117130279541,0.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000179,0.24348687689418214,0.04901382327079773,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000179,0.24348687689418214,0.19503605365753174,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000179,0.24348687689418214,0.19691812992095947,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000179,0.24348687689418214,-0.06309562921524048,0.0
