dictionary,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,mean_pairwise_top20_overlap,leakage_note
16K_d16384_k32,full_sae_ridge,374,187,187,0.9414052446452572,0.9171428822413938,0.9645390716025012,0.9109984921511362,0.8613244326107831,0.9664466534190448,,
16K_d16384_k32,nested_train_top20_lr,374,187,187,0.9267780033744173,0.9041326208226177,0.949032616283889,0.9269373285173707,0.8973377570357071,0.950058686368734,16.9,
16K_d16384_k32,all_data_fdr_top20_lr_descriptive,374,187,187,0.9348279905058766,0.911025140224359,0.9565589278147972,0.9317810697789273,0.9042854470023968,0.9568897779639037,,feature set ranked on all labeled episodes; descriptive only
32K_d32768_k48,full_sae_ridge,376,188,188,0.9500905387052966,0.9240708591615996,0.9737309073300774,0.9239162331729172,0.8696448247339029,0.9735352555302134,,
32K_d32768_k48,nested_train_top20_lr,376,188,188,0.9376131733816206,0.9113185392267948,0.9587967517271491,0.9263355614157855,0.8875901496015933,0.95831412718204,16.5,
32K_d32768_k48,all_data_fdr_top20_lr_descriptive,376,188,188,0.9431869624264373,0.9199772615314721,0.9646386649451442,0.9317034627459493,0.8893718147183772,0.9619892068185514,,feature set ranked on all labeled episodes; descriptive only
