multiplier,mean_progress_logit,mean_progress_logit_delta,mean_raw_action_readout_shift_l2,mean_raw_activation_delta_l2
0.0,-0.4943962155386756,-0.004634763094366465,0.0003104577772319317,0.02885560505092144
0.5,-0.49428481021733006,-0.004523357773020852,0.00040563143556937575,0.04294167459011078
1.0,-0.49417340489598444,-0.00441195245167529,0.0005008146399632096,0.057028867304325104
1.5,-0.49406199988958094,-0.004300547445271866,0.0005959889385849237,0.07111715525388718
2.0,-0.49395059425329324,-0.004189141808984181,0.0006911793607287109,0.08520660549402237
