model,layer,d_sae,k,norm_factor,n_samples,positive_rate,status,active_features,active_feature_pct,fvu,l0,loss,safety_auroc_quick_lr
layer16,16,16384,32,49.49898910522461,4480,0.11897321428571428,ok,5777,35.260009765625,0.5429636716842652,32.0,0.11102849543094635,0.8777238175675677
layer20,20,16384,32,65.60980987548828,4480,0.11897321428571428,ok,6216,37.939453125,0.6004915952682495,32.0,0.11201387345790863,0.8760082347972974
layer24,24,16384,32,89.37748718261719,4480,0.11897321428571428,ok,5000,30.517578125,0.632957661151886,32.0,0.1076444998383522,0.8765255489864865
layer20_32k,20,32768,48,65.60806274414062,4480,0.11897321428571428,ok,12075,36.8499755859375,0.5329039573669434,48.0,0.09940740764141083,0.8979360219594595
