target,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,mean_pairwise_top20_overlap,fold_selected_features
excessive_force_rate_within_suite_q25_q75,nested_train_top20_sae,380,191,189,0.69445136984404,0.6425317563398304,0.7456545616741461,0.7092385146032485,0.6476200497847099,0.7665279579488314,15.1,"[[4431, 10526, 1642, 13452, 12230, 12732, 8132, 15020, 12955, 2178, 11915, 4292, 5876, 4689, 2858, 6629, 9859, 9175, 12667, 1021], [4431, 15020, 10526, 11915, 13452, 12230, 1642, 8132, 1462, 1021, 6629, 4689, 12955, 12732, 2178, 2858, 4292, 9555, 238, 9900], [12230, 11915, 4431, 10526, 1642, 4689, 13452, 15020, 12955, 15098, 4333, 8132, 12732, 2178, 9175, 2858, 2924, 2375, 238, 1462], [11915, 4431, 13452, 8132, 10526, 15020, 1642, 12955, 12732, 4689, 12230, 5876, 15857, 238, 2858, 1462, 1021, 2375, 12851, 9175], [4431, 10526, 12230, 11915, 1642, 4689, 2375, 9175, 5876, 2858, 5851, 13452, 15020, 12955, 8132, 1462, 15098, 13656, 2178, 6629]]"
excessive_force_rate_within_suite_q25_q75,full_sae_ridge,380,191,189,0.827917670849608,0.7864140238423644,0.8690451206625461,0.8355021927763009,0.7850989777462205,0.8817657135010752,,
excessive_force_rate_within_suite_q25_q75,raw_pca20_lr,380,191,189,0.7941494224216739,0.7506086188743736,0.8349594979250281,0.8050775102620871,0.7545230248005218,0.8539416263642715,,
excessive_force_rate_within_suite_q25_q75,motion_no_contact,380,191,189,0.9091387573062965,0.8797074765174324,0.9371194142522621,0.9149150660396419,0.8795797379806044,0.9454279929104701,,
excessive_force_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,380,191,189,0.9087509349289454,0.8778652275956073,0.9349307802128526,0.9143186149381484,0.8788400138775728,0.9445805664489558,,
excessive_force_rate_within_suite_q25_q75,motion_with_contact_upper_bound,380,191,189,0.9232388708828501,0.8966051021205427,0.9461140095908969,0.9326269170858007,0.9037807928077009,0.955143852312284,,
excessive_force_rate_within_suite_q25_q75,motion_with_contact_plus_submitted_top20,380,191,189,0.9227679437103521,0.8947484238006176,0.9476103348586774,0.9321203745177163,0.90422472873314,0.9552727923542024,,
boundary_violation_rate_within_suite_q25_q75,suite_id_only,354,146,208,0.5581203898840886,0.4976153149386845,0.6170315485940485,0.4504478990506826,0.3861843683053724,0.529681847209781,,
boundary_violation_rate_within_suite_q25_q75,submitted_top20_sae,354,146,208,0.5433350895679663,0.4842375067307995,0.6055350077058208,0.4913025045976872,0.42260845814645176,0.5609799171991444,,
boundary_violation_rate_within_suite_q25_q75,nested_train_top20_sae,354,146,208,0.9796825605900948,0.96439470193738,0.9913876835239065,0.9780164502342688,0.9628814815409074,0.9900627661721577,15.0,"[[6629, 1219, 2901, 15020, 6549, 1642, 2178, 9900, 1462, 8132, 9859, 12732, 2867, 1021, 12782, 8113, 5876, 4933, 6147, 2147], [6629, 2901, 1219, 15020, 1462, 1021, 8132, 6549, 9900, 5851, 1642, 2178, 2867, 12955, 4823, 10926, 3399, 12732, 9859, 5876], [6629, 1219, 2901, 15020, 2867, 1462, 8132, 6549, 1642, 9900, 8048, 9859, 10926, 14539, 2147, 1021, 2178, 4823, 12732, 14302], [2901, 1219, 6629, 6549, 8132, 15020, 2867, 2178, 6132, 1462, 1642, 4933, 4823, 1021, 8048, 8113, 13279, 10926, 12732, 9900], [6629, 6549, 1219, 2901, 8132, 1462, 2867, 1642, 2178, 15020, 9900, 12732, 4823, 5876, 12782, 8048, 3399, 3545, 13292, 14302]]"
boundary_violation_rate_within_suite_q25_q75,full_sae_ridge,354,146,208,0.9931177555321391,0.9875865277504298,0.9974559951085447,0.9902948548346167,0.9818841494244918,0.9964395205556595,,
boundary_violation_rate_within_suite_q25_q75,raw_pca20_lr,354,146,208,0.9959167544783983,0.9917079609481454,0.9987033883141799,0.9946488236212885,0.9890582633898697,0.9984181882690522,,
boundary_violation_rate_within_suite_q25_q75,motion_no_contact,354,146,208,0.8434207060063224,0.7981933899845732,0.8844775525628171,0.8403947053288168,0.7904717676269548,0.8851127480638253,,
boundary_violation_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,354,146,208,0.8433877766069547,0.7985097185992389,0.8848892925185844,0.8401854133899972,0.7904517693315934,0.8834573644461229,,
boundary_violation_rate_within_suite_q25_q75,motion_with_contact_upper_bound,354,146,208,0.8449354583772392,0.7979224733795431,0.8867036431178479,0.8389664604892304,0.7899749497343432,0.8845301357972967,,
boundary_violation_rate_within_suite_q25_q75,motion_with_contact_plus_submitted_top20,354,146,208,0.8439475763962065,0.7998517519440482,0.8848074725854884,0.8384364724076385,0.7839379526385016,0.8830791683107211,,
high_approach_speed_rate_within_suite_q25_q75,suite_id_only,376,188,188,0.43069545043005886,0.37320959833838774,0.4874391701499096,0.45485312588252946,0.40083313136274806,0.5250280323704258,,
high_approach_speed_rate_within_suite_q25_q75,submitted_top20_sae,376,188,188,0.5215595291987325,0.46534970240987833,0.5794386968764937,0.5276813897852322,0.46649384383319825,0.5971067298221164,,
high_approach_speed_rate_within_suite_q25_q75,nested_train_top20_sae,376,188,188,0.6985344047080128,0.6472247790868925,0.751607911458121,0.7157175060884382,0.6503483595222197,0.7788081795044117,10.9,"[[15916, 6360, 1085, 6801, 13592, 15521, 5461, 3342, 15732, 6628, 6917, 15408, 8161, 13654, 783, 1462, 11686, 7142, 10407, 13055], [1085, 1462, 13592, 5461, 15916, 10407, 10083, 15521, 13074, 11686, 15959, 1257, 3342, 8161, 15732, 6628, 6917, 15408, 13654, 12393], [15916, 6360, 1085, 1462, 8132, 10083, 5461, 11686, 16264, 8234, 5838, 12393, 14539, 8161, 16233, 11548, 9965, 3793, 13055, 9300], [15916, 1085, 13074, 6360, 1462, 15732, 8161, 3342, 6628, 6917, 15408, 13654, 783, 3793, 15521, 1979, 11686, 2989, 11548, 5279], [1085, 15916, 8132, 1462, 11686, 10083, 10407, 1144, 9900, 1257, 11548, 15732, 3342, 6917, 6628, 3793, 14178, 15408, 6801, 5279]]"
high_approach_speed_rate_within_suite_q25_q75,full_sae_ridge,376,188,188,0.783810547759167,0.7350810266298653,0.8273951154318502,0.7708702161963196,0.7007880754526041,0.8384771819041463,,
high_approach_speed_rate_within_suite_q25_q75,raw_pca20_lr,376,188,188,0.8056813037573562,0.7620378517892554,0.8467597979037838,0.7948686591249612,0.7361516251290778,0.852974728249684,,
high_approach_speed_rate_within_suite_q25_q75,motion_no_contact,376,188,188,0.9991511996378452,0.9975283176755174,1.0,0.9992109356125914,0.9977725000542622,1.0,,
high_approach_speed_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,376,188,188,0.9991794929832504,0.9976227267205514,1.0,0.9992343866702341,0.997855629139889,1.0,,
high_approach_speed_rate_within_suite_q25_q75,motion_with_contact_upper_bound,376,188,188,0.9991511996378452,0.9976510425598708,1.0,0.9992109356125914,0.9977926733568395,1.0,,
