suite,n,positives,negatives,top20_auroc,top20_auroc_ci95_low,top20_auroc_ci95_high
goal,174,45,129,0.9736434108527131,0.929169450618754,0.9996201329534663
long,44,12,32,0.7356770833333333,0.5492063492063493,0.893667911609088
object,142,125,17,0.8705882352941177,0.7855643777919976,0.93770780790248
spatial,14,5,9,0.7111111111111111,0.4053125,0.9545454545454545
