split,method,fold,n_train,n_test,train_groups,test_groups,test_positive_rate,fold_auroc,fold_pr_auc,selected_features
episode_cv,suite_only,0,300,76,300,76,0.5,0.7181440443213296,0.7131622158845389,
episode_cv,motion,0,300,76,300,76,0.5,1.0,0.9999999999999999,
episode_cv,motion_suite_task,0,300,76,300,76,0.5,0.9951523545706371,0.9953895326648856,
episode_cv,fixed_top20_sae,0,300,76,300,76,0.5,0.5921052631578947,0.5507246376811594,
episode_cv,nested_top20_sae,0,300,76,300,76,0.5,0.8213296398891967,0.7920059248329245,"f3504,f1215,f9712,f15198,f4932,f1369,f11644,f11836,f4135,f6638,f665,f1219,f5678,f13874,f12441,f3236,f13576,f4867,f11058,f6561"
episode_cv,full_sae,0,300,76,300,76,0.5,0.9349030470914128,0.9296196000972053,
episode_cv,raw_lr,0,300,76,300,76,0.5,0.9709141274238227,0.9674746740429259,
episode_cv,raw_pca20,0,300,76,300,76,0.5,0.9819944598337951,0.9818921664969704,
episode_cv,suite_only,1,301,75,301,75,0.49333333333333335,0.8499288762446656,0.8086902286902287,
episode_cv,motion,1,301,75,301,75,0.49333333333333335,0.9978662873399716,0.9978835384240787,
episode_cv,motion_suite_task,1,301,75,301,75,0.49333333333333335,0.9964438122332859,0.9963605869011272,
episode_cv,fixed_top20_sae,1,301,75,301,75,0.49333333333333335,0.5657894736842105,0.5285714285714286,
episode_cv,nested_top20_sae,1,301,75,301,75,0.49333333333333335,0.8975817923186344,0.8873218676326227,"f9712,f3504,f1215,f1369,f11836,f4932,f4135,f11644,f15198,f5678,f665,f12441,f6638,f1219,f3236,f11058,f13874,f2429,f6629,f13576"
episode_cv,full_sae,1,301,75,301,75,0.49333333333333335,0.9637268847795164,0.9593937248456059,
episode_cv,raw_lr,1,301,75,301,75,0.49333333333333335,0.9935988620199148,0.9932100640111474,
episode_cv,raw_pca20,1,301,75,301,75,0.49333333333333335,0.9836415362731152,0.9826768229351981,
episode_cv,suite_only,2,301,75,301,75,0.49333333333333335,0.75,0.704207957957958,
episode_cv,motion,2,301,75,301,75,0.49333333333333335,0.9992887624466572,0.9992887624466571,
episode_cv,motion_suite_task,2,301,75,301,75,0.49333333333333335,0.9971550497866288,0.997132787673328,
episode_cv,fixed_top20_sae,2,301,75,301,75,0.49333333333333335,0.5921052631578947,0.5441176470588235,
episode_cv,nested_top20_sae,2,301,75,301,75,0.49333333333333335,0.8243243243243243,0.8102176581297977,"f4932,f9712,f1215,f3504,f1369,f11836,f15198,f5678,f11644,f4135,f1219,f12441,f6638,f665,f3236,f11058,f13576,f6629,f13874,f7060"
episode_cv,full_sae,2,301,75,301,75,0.49333333333333335,0.9196301564722618,0.9255774821346154,
episode_cv,raw_lr,2,301,75,301,75,0.49333333333333335,0.938122332859175,0.9375227052009487,
episode_cv,raw_pca20,2,301,75,301,75,0.49333333333333335,0.9203413940256047,0.9126888685733192,
episode_cv,suite_only,3,301,75,301,75,0.5066666666666667,0.8453058321479375,0.8697526711515631,
episode_cv,motion,3,301,75,301,75,0.5066666666666667,1.0,0.9999999999999999,
episode_cv,motion_suite_task,3,301,75,301,75,0.5066666666666667,1.0,0.9999999999999999,
episode_cv,fixed_top20_sae,3,301,75,301,75,0.5066666666666667,0.5945945945945945,0.5588235294117647,
episode_cv,nested_top20_sae,3,301,75,301,75,0.5066666666666667,0.9349217638691323,0.9354035256653394,"f1215,f3504,f9712,f11644,f15198,f1369,f11836,f1219,f5678,f4135,f12441,f4932,f6638,f665,f3236,f6629,f11058,f13874,f13316,f13576"
episode_cv,full_sae,3,301,75,301,75,0.5066666666666667,0.9850640113798008,0.988177851333946,
episode_cv,raw_lr,3,301,75,301,75,0.5066666666666667,0.992176386913229,0.992584810313342,
episode_cv,raw_pca20,3,301,75,301,75,0.5066666666666667,0.9815078236130867,0.9843305179167029,
episode_cv,suite_only,4,301,75,301,75,0.5066666666666667,0.8026315789473685,0.8110702958769922,
episode_cv,motion,4,301,75,301,75,0.5066666666666667,0.9765291607396871,0.9737727619761426,
episode_cv,motion_suite_task,4,301,75,301,75,0.5066666666666667,0.9935988620199147,0.9936927736504075,
episode_cv,fixed_top20_sae,4,301,75,301,75,0.5066666666666667,0.5540540540540541,0.5352112676056338,
episode_cv,nested_top20_sae,4,301,75,301,75,0.5066666666666667,0.9007823613086772,0.9021616174436388,"f1215,f3504,f9712,f11644,f1369,f15198,f11836,f4135,f4932,f1219,f5678,f12441,f6638,f665,f3236,f13874,f11058,f13576,f6629,f13316"
episode_cv,full_sae,4,301,75,301,75,0.5066666666666667,0.9793741109530583,0.9833268809618605,
episode_cv,raw_lr,4,301,75,301,75,0.5066666666666667,0.9836415362731152,0.9837255491484836,
episode_cv,raw_pca20,4,301,75,301,75,0.5066666666666667,0.9751066856330015,0.9768582129504878,
task_heldout,suite_only,0,287,89,47,12,0.47191011235955055,0.846757852077001,0.765369721830396,
task_heldout,motion,0,287,89,47,12,0.47191011235955055,1.0,1.0,
task_heldout,motion_suite_task,0,287,89,47,12,0.47191011235955055,0.9979736575481256,0.9979296066252588,
task_heldout,fixed_top20_sae,0,287,89,47,12,0.47191011235955055,0.5,0.47191011235955055,
task_heldout,nested_top20_sae,0,287,89,47,12,0.47191011235955055,0.8971631205673759,0.8811927934462537,"f3504,f1215,f4932,f9712,f11644,f1369,f4135,f11836,f6638,f15198,f6629,f12441,f13874,f1219,f5678,f665,f3236,f4867,f6561,f13576"
task_heldout,full_sae,0,287,89,47,12,0.47191011235955055,0.9093211752786221,0.9108426634800254,
task_heldout,raw_lr,0,287,89,47,12,0.47191011235955055,0.9473150962512664,0.9526187505389027,
task_heldout,raw_pca20,0,287,89,47,12,0.47191011235955055,0.9270516717325228,0.9321831220289681,
task_heldout,suite_only,1,341,35,48,11,0.5428571428571428,0.4917763157894737,0.6006634232640424,
task_heldout,motion,1,341,35,48,11,0.5428571428571428,0.9671052631578947,0.9690981318303298,
task_heldout,motion_suite_task,1,341,35,48,11,0.5428571428571428,0.9769736842105263,0.9804148852523464,
task_heldout,fixed_top20_sae,1,341,35,48,11,0.5428571428571428,0.5625,0.5757575757575758,
task_heldout,nested_top20_sae,1,341,35,48,11,0.5428571428571428,0.5953947368421053,0.6242506719286905,"f1215,f3504,f9712,f1369,f15198,f4932,f11836,f11644,f4135,f5678,f1219,f6638,f12441,f665,f3236,f13576,f11058,f13874,f4867,f13316"
task_heldout,full_sae,1,341,35,48,11,0.5428571428571428,0.8322368421052632,0.8844254517690631,
task_heldout,raw_lr,1,341,35,48,11,0.5428571428571428,0.875,0.9261422787738576,
