split,method,fold,n_train,n_test,train_groups,test_groups,fold_spearman,fold_pearson,fold_r2,fold_mae,selected_features
episode_cv,suite_only,0,600,150,600,150,0.5433316575824593,0.5944852459451382,0.34577399492263794,0.12296708673238754,
episode_cv,motion,0,600,150,600,150,0.8569658330887504,0.9572828532893505,0.9161829352378845,0.05162344127893448,
episode_cv,motion_suite_task,0,600,150,600,150,0.9871069596121376,0.981449328751835,0.96321702003479,0.024443447589874268,
episode_cv,fixed_top20_sae,0,600,150,600,150,0.27284475302541955,0.31938645467503113,0.060779571533203125,0.16802647709846497,
episode_cv,nested_top20_sae,0,600,150,600,150,0.532409127040859,0.7123898873472526,0.4933311939239502,0.11733733862638474,"f6629,f9900,f8132,f1462,f14254,f12732,f15020,f4823,f6676,f13452,f11686,f8857,f1021,f5876,f1642,f15371,f1781,f3399,f785,f10083"
episode_cv,full_sae,0,600,150,600,150,0.6928942493352864,0.7288552353891513,0.5179807543754578,0.10052069276571274,
episode_cv,raw_pca20,0,600,150,600,150,0.676233923702431,0.7727284387283927,0.5961160659790039,0.09236118197441101,
episode_cv,suite_only,1,600,150,600,150,0.44697695516590497,0.4613523659422205,0.20830434560775757,0.13373824954032898,
episode_cv,motion,1,600,150,600,150,0.809988719488937,0.9407817046480192,0.8816046714782715,0.05654560774564743,
episode_cv,motion_suite_task,1,600,150,600,150,0.9831841265696819,0.9744958535308264,0.9464007019996643,0.026329003274440765,
episode_cv,fixed_top20_sae,1,600,150,600,150,0.29939605809762226,0.35716912898629777,0.11427110433578491,0.16784454882144928,
episode_cv,nested_top20_sae,1,600,150,600,150,0.5467682463582074,0.6871844601716073,0.45517539978027344,0.11778050661087036,"f6629,f9900,f1462,f8132,f14254,f6676,f11686,f15020,f4823,f13452,f1781,f12732,f15371,f8857,f1021,f1642,f785,f2751,f9090,f10213"
episode_cv,full_sae,1,600,150,600,150,0.7208433448985868,0.7513573901198132,0.5577014684677124,0.10060219466686249,
episode_cv,raw_pca20,1,600,150,600,150,0.6879529649791287,0.760750405081642,0.5784200429916382,0.10130972415208817,
episode_cv,suite_only,2,600,150,600,150,0.4658814208529319,0.5159856602800897,0.26563793420791626,0.13796669244766235,
episode_cv,motion,2,600,150,600,150,0.7922360993821947,0.9566515903819433,0.9148734211921692,0.05268784239888191,
episode_cv,motion_suite_task,2,600,150,600,150,0.9846499844437532,0.986927145581488,0.9729734063148499,0.023941144347190857,
episode_cv,fixed_top20_sae,2,600,150,600,150,0.2767035035692004,0.3474356265551652,0.09115934371948242,0.1764850914478302,
episode_cv,nested_top20_sae,2,600,150,600,150,0.47717498555491356,0.7291652154247805,0.529422402381897,0.11506642401218414,"f6629,f9900,f8132,f1462,f11686,f14254,f6676,f4823,f12732,f15020,f1021,f1781,f15371,f785,f1642,f13452,f8857,f3399,f5876,f13808"
episode_cv,full_sae,2,600,150,600,150,0.7264660651584516,0.7833796633354088,0.60526442527771,0.09774067252874374,
episode_cv,raw_pca20,2,600,150,600,150,0.7262633894839771,0.7935129065214555,0.6293536424636841,0.09419646114110947,
episode_cv,suite_only,3,600,150,600,150,0.5716090867597815,0.5935918121165167,0.33796095848083496,0.14483146369457245,
episode_cv,motion,3,600,150,600,150,0.8082759233743723,0.010808664367327886,-258.231689453125,0.5143541097640991,
