split,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high
episode_cv,suite_only,376,188,188,0.7665091670439113,0.7136823274955663,0.8163392224278362,0.7550301238442618,0.6899382217507707,0.8198372445179006
episode_cv,motion,376,188,188,0.9947940244454504,0.9878874340769248,0.9993148170780981,0.993862951751942,0.9854207782445759,0.999288515627857
episode_cv,motion_suite_task,376,188,188,0.9968028519692168,0.9933921742806995,0.9990377866817657,0.9968127539353929,0.9936435004005384,0.9990221814396494
episode_cv,fixed_top20_sae,376,188,188,0.571497283838841,0.5139556747502687,0.6273575571979182,0.5376151414971628,0.47349839150939776,0.6059071281970313
episode_cv,nested_top20_sae,376,188,188,0.8736702127659576,0.8409926457719826,0.9084602276192028,0.8636215467002691,0.8127938629613745,0.9064551563687652
episode_cv,full_sae,376,188,188,0.9574751018560435,0.9369551006543922,0.975562575364594,0.9574969167612619,0.9362150815605372,0.9766631600353424
episode_cv,raw_lr,376,188,188,0.9766579900407425,0.962978645066274,0.9883153531489917,0.9767088700016909,0.9617201346794072,0.9887347517676068
episode_cv,raw_pca20,376,188,188,0.9691602535083748,0.953627220472867,0.9829070896559369,0.9674060717737569,0.9459557967281296,0.9834909309424451
task_heldout,suite_only,376,188,188,0.7487692394748755,0.6948301547665774,0.7991669043985054,0.7540905206022288,0.6890857934584641,0.8198521980348709
task_heldout,motion,376,188,188,0.9949920778632866,0.9894875457524686,0.9988335471208759,0.994549231336009,0.9885814665183391,0.998730903710642
task_heldout,motion_suite_task,376,188,188,0.9950486645540969,0.9908600791952427,0.9981596425147253,0.9950250621658284,0.9904965070069194,0.9982496477133372
task_heldout,fixed_top20_sae,376,188,188,0.5588784517881394,0.5021973916883876,0.6156816004696231,0.522409100980009,0.46264047457680746,0.585214131756206
task_heldout,nested_top20_sae,376,188,188,0.7998387279311905,0.7523054612337294,0.84630194919648,0.8276204578631307,0.7715745634001154,0.8772114190262036
task_heldout,full_sae,376,188,188,0.9330013580805795,0.9042669626477274,0.9576853243419609,0.9244248716224811,0.8840344654114044,0.9570044554476255
task_heldout,raw_lr,376,188,188,0.9525237664101404,0.9306614890593622,0.971930591481675,0.9555290138291506,0.9322655877270473,0.9743247701531431
task_heldout,raw_pca20,376,188,188,0.9511090991398823,0.9302069885881242,0.9695928537048049,0.9560302339376529,0.934465219169882,0.9726570904451605
instruction_heldout,suite_only,376,188,188,0.7762986645540968,0.7253809291792388,0.8236751064705348,0.7660628082180457,0.6981846040487389,0.8307221414464605
instruction_heldout,motion,376,188,188,0.9955296514259846,0.9913077890431238,0.998726222826087,0.995355189405124,0.9903161172825261,0.9987608805794421
instruction_heldout,motion_suite_task,376,188,188,0.9940018107741059,0.988935936718476,0.9979347787586162,0.9937882794864008,0.9878824204126604,0.9978813208032844
instruction_heldout,fixed_top20_sae,376,188,188,0.659150067904029,0.6040378386915919,0.7140038266808576,0.582984725098612,0.5206876373650623,0.651886743666788
instruction_heldout,nested_top20_sae,376,188,188,0.8170976686283387,0.7705659823911457,0.8622336328507889,0.8366534867864446,0.7835356537447911,0.8832042761834666
instruction_heldout,full_sae,376,188,188,0.9504866455409687,0.927550227248836,0.9708038156175637,0.9397132322724345,0.904926827606975,0.967914966219249
instruction_heldout,raw_lr,376,188,188,0.9568526482571299,0.9375765774524807,0.9736290881017736,0.9570297832057673,0.9354411641551127,0.9751836239049446
instruction_heldout,raw_pca20,376,188,188,0.9496661385242191,0.9271410045121216,0.9692455954195219,0.9494298473948162,0.9206707925921009,0.9717802398690157
