heldout_suite,n_train,n_holdout,n_holdout_low,n_holdout_high,signed_top20_auroc,random_signed20_auroc_mean,random_signed20_auroc_std,signed_top20_minus_random,top20_global_overlap,heldout_sign_agreement_frac
goal,200,174,129,45,0.2527131782945737,0.502724375538329,0.1583774782269017,-0.25001119724375537,8,0.4
long,330,44,32,12,0.39453125,0.5019270833333334,0.1252482317141685,-0.10739583333333336,13,0.35
object,232,142,17,125,0.4583529411764706,0.4819564705882353,0.12411936341718204,-0.023603529411764745,4,0.3
spatial,360,14,9,5,0.2666666666666667,0.5118333333333334,0.25760549199536265,-0.24516666666666664,13,0.1
