condition,n_samples,mean_progress_logit_delta,median_progress_logit_delta,frac_progress_logit_increased,mean_abs_progress_logit_delta
random20_low_samples_to_high_class_mean_trial050,57,0.04558480713479611,0.028335819075735236,0.9122807017543859,0.0700538942887651
random20_low_samples_to_high_class_mean_trial051,57,0.0994639445043864,0.0905370224456501,0.9122807017543859,0.10808398271691452
random20_low_samples_to_high_class_mean_trial052,57,0.1187579019163172,0.05539041652694299,0.8070175438596491,0.1284036145268704
random20_low_samples_to_high_class_mean_trial053,57,0.09006942022432742,0.07008387712565955,0.9473684210526315,0.09722861107993859
random20_low_samples_to_high_class_mean_trial054,57,0.05016653059948312,0.06750482030896965,0.8947368421052632,0.08784639480593434
random20_low_samples_to_high_class_mean_trial055,57,0.09533112372752241,0.0668385718761284,0.9122807017543859,0.1089977696604344
random20_low_samples_to_high_class_mean_trial056,57,0.06986480593903921,0.03763699653752983,0.9473684210526315,0.08500087882068112
random20_low_samples_to_high_class_mean_trial057,57,0.1204441943757773,0.09038703935847892,0.9473684210526315,0.13328304774473965
random20_low_samples_to_high_class_mean_trial058,57,0.04972129597508836,0.056748284926156245,0.7894736842105263,0.08633220734541261
random20_low_samples_to_high_class_mean_trial059,57,0.1283973040674145,0.1345835862977962,0.9649122807017544,0.12952775039483172
random20_low_samples_to_high_class_mean_trial060,57,0.12581191189304905,0.07905227763499134,0.9122807017543859,0.13868123064017338
random20_low_samples_to_high_class_mean_trial061,57,0.17039658389531664,0.11522790780618575,0.9824561403508771,0.17241595691661946
random20_low_samples_to_high_class_mean_trial062,57,0.08029933292450324,0.038096216697862895,0.9122807017543859,0.17259391003396465
random20_low_samples_to_high_class_mean_trial063,57,0.0923207273947945,0.07301338792533407,0.9473684210526315,0.1007242453114395
random20_low_samples_to_high_class_mean_trial064,57,0.10357736774730186,0.0838091977727844,0.9298245614035088,0.12044601194737636
random20_low_samples_to_high_class_mean_trial065,57,0.15562463070763657,0.1440607115355803,0.9824561403508771,0.16029466641235451
random20_low_samples_to_high_class_mean_trial066,57,0.04459801607627617,0.04268555532249163,0.8771929824561403,0.0849272331377844
random20_low_samples_to_high_class_mean_trial067,57,0.0569626088902779,0.055445012848559294,0.8421052631578947,0.07600825187120694
random20_low_samples_to_high_class_mean_trial068,57,0.13046530859980307,0.09552181439268437,0.9473684210526315,0.1335922356951767
random20_low_samples_to_high_class_mean_trial069,57,0.0787646633852624,0.0653778280186117,0.8421052631578947,0.0981044387122143
random20_low_samples_to_high_class_mean_trial070,57,0.0892350692091294,0.08717036503650277,0.9649122807017544,0.0920185075468078
random20_low_samples_to_high_class_mean_trial071,57,0.061910838580947834,0.07616608340534992,0.8596491228070176,0.10407009559643708
random20_low_samples_to_high_class_mean_trial072,57,0.11879219599821353,0.033091004507824096,0.631578947368421,0.1358787408071488
random20_low_samples_to_high_class_mean_trial073,57,0.08666668448616309,0.05640048925100949,0.9473684210526315,0.09415719134229411
random20_low_samples_to_high_class_mean_trial074,57,0.09476718076372413,0.07901788533348375,0.9649122807017544,0.12845653228476264
random20_low_samples_to_high_class_mean_trial075,57,0.09647048953368806,0.062276318865737146,0.9824561403508771,0.10416227417483766
random20_low_samples_to_high_class_mean_trial076,57,0.11602430429568464,0.1014695150380227,0.9649122807017544,0.12657678929267413
random20_low_samples_to_high_class_mean_trial077,57,0.05847040772861986,0.048571991369058765,0.8421052631578947,0.07855357217547336
random20_low_samples_to_high_class_mean_trial078,57,0.014091719354071684,0.014188540469767474,0.5263157894736842,0.08815181220919023
random20_low_samples_to_high_class_mean_trial079,57,0.06193019941214942,0.061135133646330386,0.9473684210526315,0.08493817284714872
random20_low_samples_to_high_class_mean_trial080,57,0.06767426923490048,0.0671875110813458,0.8947368421052632,0.11184949843678113
random20_low_samples_to_high_class_mean_trial081,57,0.07311271524697982,0.03182646495781993,0.8771929824561403,0.08542319571891224
random20_low_samples_to_high_class_mean_trial082,57,0.06824065840236516,0.03550219498528717,0.9298245614035088,0.08276182518731882
random20_low_samples_to_high_class_mean_trial083,57,0.06656513950395881,0.0473846707476806,0.9473684210526315,0.08141129235117864
random20_low_samples_to_high_class_mean_trial084,57,0.05132224339481667,0.06269597819367156,0.7894736842105263,0.0989745304601482
random20_low_samples_to_high_class_mean_trial085,57,0.1936835948573271,0.17759524042896224,0.9824561403508771,0.19787243434777305
random20_low_samples_to_high_class_mean_trial086,57,0.06146249730842607,0.037454538406239024,0.8771929824561403,0.0722673907352953
random20_low_samples_to_high_class_mean_trial087,57,0.05306252578943311,0.01817268802378047,0.8596491228070176,0.07173837734717263
random20_low_samples_to_high_class_mean_trial088,57,0.04519841640549997,0.02881236908926965,0.8421052631578947,0.11307253302656105
random20_low_samples_to_high_class_mean_trial089,57,-0.012353072267480576,0.002591529652805402,0.7894736842105263,0.03764907824921788
random20_low_samples_to_high_class_mean_trial090,57,0.0540151703949854,0.024485195266172433,0.9824561403508771,0.05586888069579001
random20_low_samples_to_high_class_mean_trial091,57,0.053990190034691875,0.05300293869740358,0.9122807017543859,0.13077183966695524
random20_low_samples_to_high_class_mean_trial092,57,0.05796756268052347,0.04347316004670532,0.9473684210526315,0.05951314757528418
random20_low_samples_to_high_class_mean_trial093,57,0.07468944319532725,0.0717720754204283,0.8596491228070176,0.08705362938497214
random20_low_samples_to_high_class_mean_trial094,57,0.12941446604806606,0.07817621585491885,0.9473684210526315,0.1437123249468721
random20_low_samples_to_high_class_mean_trial095,57,0.06479479560461167,0.02692291436602101,0.9298245614035088,0.071708701814623
random20_low_samples_to_high_class_mean_trial096,57,0.0815652448752131,0.04010258520398846,0.8947368421052632,0.09931246227420291
random20_low_samples_to_high_class_mean_trial097,57,0.128320757914525,0.08534517354670701,0.9298245614035088,0.13620821409261338
random20_low_samples_to_high_class_mean_trial098,57,0.1438229021955044,0.08638484485041431,0.9298245614035088,0.15298603724112306
random20_low_samples_to_high_class_mean_trial099,57,0.05463691393783725,0.05645951773925617,0.9122807017543859,0.07423878160192275
random20_low_samples_to_high_class_mean_trial100,57,0.12207273280120318,0.09260053893086528,0.8947368421052632,0.14440629047766762
random20_low_samples_to_high_class_mean_trial101,57,0.06976564344150757,0.04557968048472194,0.9122807017543859,0.07890124201846305
random20_low_samples_to_high_class_mean_trial102,57,0.10066603976561994,0.058297362998716906,0.9649122807017544,0.10805490604330029
random20_low_samples_to_high_class_mean_trial103,57,0.09728665867400188,0.041212273332096316,0.9298245614035088,0.1184053581145126
random20_low_samples_to_high_class_mean_trial104,57,0.04245971049971573,0.09217993148783599,0.8070175438596491,0.13817033966068995
random20_low_samples_to_high_class_mean_trial105,57,0.06908286566951125,0.05045794581152485,0.9649122807017544,0.08971918938517295
random20_low_samples_to_high_class_mean_trial106,57,0.05392045963547404,0.040013984612591535,0.9649122807017544,0.07042112342390866
random20_low_samples_to_high_class_mean_trial107,57,0.0538557282800878,0.03142128945671452,0.8596491228070176,0.0839799634872248
random20_low_samples_to_high_class_mean_trial108,57,0.015927965377436053,-0.004051620307712112,0.40350877192982454,0.046662802527775445
random20_low_samples_to_high_class_mean_trial109,57,0.0879369301980287,0.062223283036012766,0.9649122807017544,0.09558913417853167
random20_low_samples_to_high_class_mean_trial110,57,0.023896044250352886,0.02542264848445086,0.6842105263157895,0.05163221182259696
random20_low_samples_to_high_class_mean_trial111,57,0.10646826432355146,0.06011287130784293,0.8771929824561403,0.11240949471670164
random20_low_samples_to_high_class_mean_trial112,57,0.09619406319622432,0.0636857786208278,0.9473684210526315,0.10329529241708348
random20_low_samples_to_high_class_mean_trial113,57,0.11101341454454013,0.10866083998675258,0.9298245614035088,0.13715607767170976
random20_low_samples_to_high_class_mean_trial114,57,0.02741422037293566,0.014410491703138462,0.8947368421052632,0.05314861629144373
random20_low_samples_to_high_class_mean_trial115,57,0.012202586313208306,0.04992775775773861,0.8245614035087719,0.09558883436179597
random20_low_samples_to_high_class_mean_trial116,57,0.05066403880489237,0.06602093040971746,0.8771929824561403,0.10081287108028542
random20_low_samples_to_high_class_mean_trial117,57,0.08703779089600981,0.05589213379236169,0.9298245614035088,0.09790848472648381
random20_low_samples_to_high_class_mean_trial118,57,0.08297383760286274,0.05275081516065683,0.9298245614035088,0.09587300686937997
random20_low_samples_to_high_class_mean_trial119,57,0.19305815509757968,0.15419866799781712,0.9298245614035088,0.21149657843965664
random20_low_samples_to_high_class_mean_trial120,57,0.12173808258118159,0.08893460148242838,0.9473684210526315,0.138371563606125
