feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,std_low_progress,std_high_progress,direction,adjusted_p,significant,composite_score
2310,23717.0,2.498220842897028e-09,-0.3564585775973004,0.3564585775973004,0.0008808563445958702,-0.14604514641133212,0.2301853320059133,0.18781278900353995,higher_in_high_progress,6.076432644006073e-09,True,2.9287889016432955
1038,11253.0,2.5128906431464767e-09,0.356401384083045,0.356401384083045,-0.12614228769658722,0.006317249823138765,0.2207617394116034,0.18096416016117867,higher_in_low_progress,6.108486690995827e-09,True,2.9275046225104897
3894,11265.0,2.695606439681655e-09,0.3557150619119792,0.3557150619119792,0.09423357532434365,0.22251482716671883,0.20963647979991443,0.18012677824826334,higher_in_low_progress,6.548756807198136e-09,True,2.911115556764959
1920,11267.0,2.7272913766683654e-09,0.35560067488346825,0.35560067488346825,0.32886895797847904,0.4953472939479279,0.2327311870368587,0.29224516029851727,higher_in_low_progress,6.621805263090471e-09,True,2.9084663103821358
2140,23700.0,2.7593388933284978e-09,-0.3554862878549572,0.3554862878549572,0.17835116643896876,0.05217892324731232,0.25536976494153524,0.18629961557299032,higher_in_high_progress,6.695646982863464e-09,True,2.905818663226559
1608,23696.0,2.824537830888971e-09,-0.35525751379793524,0.35525751379793524,0.10994281086891411,-0.05416572018667189,0.27928096993115986,0.2617659202872276,higher_in_high_progress,6.849796894802383e-09,True,2.9004368441683286
373,11277.0,2.8912360195913865e-09,0.3550287397409134,0.3550287397409134,0.4369152797097191,0.5732729865666379,0.22525791456466054,0.189142939189675,higher_in_low_progress,7.007398068784804e-09,True,2.8950616964435283
1316,23690.0,2.925157766364646e-09,-0.35491435271240235,0.35491435271240235,0.329897571779678,0.15967690229433323,0.2820637640980426,0.2907106748947394,higher_in_high_progress,7.081232985242074e-09,True,2.8925133302225365
123,23690.0,2.925157766364646e-09,-0.35491435271240235,0.35491435271240235,0.14148452781877893,-0.005311969700045286,0.27684549407205267,0.18251437972137569,higher_in_high_progress,7.081232985242074e-09,True,2.8925133302225365
1714,23683.0,3.0469631508989854e-09,-0.35451399811261397,0.35451399811261397,0.34944366033433033,0.2149078998114555,0.2210414637168346,0.22390395397945057,higher_in_high_progress,7.371743098690044e-09,True,2.8830602056468186
