method,AUROC,F1,Precision,Recall,PR_AUC
Raw Activation LR (4096-d),0.956453634085213,0.8813559322033898,0.8387096774193549,0.9285714285714286,0.9578621339679131
Top-20 Feature LR,0.9464285714285714,0.8888888888888888,0.8524590163934426,0.9285714285714286,0.9221699943017906
Random,0.5535714285714286,0.5504587155963303,0.5660377358490566,0.5357142857142857,0.5632182073778135
