feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,std_low_progress,std_high_progress,direction,adjusted_p,significant,composite_score
1777,2612.0,6.260669654316015e-46,0.8506105407646773,0.8506105407646773,-0.22759833754872016,0.33491703058109884,0.25955599592386247,0.2578381396094967,higher_in_low_progress,2.56437029040784e-42,True,35.37775938650246
2570,2716.0,2.5833086245137384e-45,0.844662415282107,0.844662415282107,0.19218165232824228,0.6024518229943865,0.24029571185290535,0.17723232038220196,higher_in_low_progress,5.290616063004136e-42,True,34.86470290848495
1110,2945.0,5.655919693701663e-44,0.8315651005176012,0.8315651005176012,-0.15649605630573263,0.39712441778358293,0.28605145103803375,0.26010117973443275,higher_in_low_progress,7.722215688467338e-41,True,33.35595391588423
855,32001.0,7.690865598616807e-44,-0.8302496496897251,0.8302496496897251,0.4459059962176065,-0.034535323877266065,0.26124562016659947,0.20710587617369686,higher_in_high_progress,7.87544637298361e-41,True,33.29610348424788
458,3189.0,1.4381561717998048e-42,0.8176098830392633,0.8176098830392633,-0.5527247541389841,-0.05482913223207296,0.27385108878779824,0.23510325379990613,higher_in_low_progress,1.1647345314557224e-39,True,31.83263762854016
1059,3202.0,1.7061540988120934e-42,0.816866367353942,0.816866367353942,-0.353761587531012,0.28437331881135064,0.27520386832671007,0.3578807384922918,higher_in_low_progress,1.1647345314557224e-39,True,31.80368975758979
3478,31631.0,1.0101513266613408e-41,-0.8090880494151964,0.8090880494151964,0.307823794380946,-0.1847811628196558,0.35417202895435174,0.17282810768910245,higher_in_high_progress,5.910828334292645e-39,True,30.930102471688823
2648,3417.0,2.816334235457868e-41,0.8045697617890131,0.8045697617890131,-0.6632906653106532,-0.28990666416130045,0.25535718156922704,0.17922597771984589,higher_in_low_progress,1.4419631285544284e-38,True,30.44576124097222
2818,31519.0,4.314834416500175e-41,-0.8026823758185822,0.8026823758185822,0.35481863101679123,-0.03600708039397782,0.2121980357773826,0.20408903677597154,higher_in_high_progress,1.9637290855538574e-38,True,30.266678868042963
472,3491.0,7.320837628150884e-41,0.8003374417341074,0.8003374417341074,-0.15954179606863603,0.23285155326350876,0.226574298676605,0.2052208152448907,higher_in_low_progress,2.9986150924906025e-38,True,30.031125274913837
1460,3749.0,1.9683138643944634e-39,0.7855815150561927,0.7855815150561927,-0.5586435502173409,-0.11163240291033796,0.2871366645122106,0.20498501139646505,higher_in_low_progress,7.329285080508838e-37,True,28.386939643439494
1157,3835.0,5.817810222723406e-39,0.7806628728302211,0.7806628728302211,-0.33051810062967896,0.039306035031250776,0.24192826725591304,0.1846123052954497,higher_in_low_progress,1.9858125560229225e-36,True,27.8712740898798
2186,3870.0,9.025526805555835e-39,0.7786610998312791,0.7786610998312791,-0.5972925812444266,-0.11986336992825705,0.2890183345428441,0.24048937325521597,higher_in_low_progress,2.776319367599745e-36,True,27.686487205476208
3723,3874.0,9.489372838475692e-39,0.7784323257742571,0.7784323257742571,-0.09748303634079546,0.26916358909285804,0.25530706023862765,0.20227959519896135,higher_in_low_progress,2.776319367599745e-36,True,27.678352793722425
2440,3969.0,3.106682709356105e-38,0.7729989419199863,0.7729989419199863,-0.12489678709952032,0.37622289727118247,0.3208900875692786,0.23808842866579125,higher_in_low_progress,8.358827061727513e-36,True,27.115144536944616
2851,30996.0,3.26516682098731e-38,-0.7727701678629644,0.7727701678629644,0.04538590243841985,-0.3529896341353894,0.23340042134975694,0.21937235659273077,higher_in_high_progress,8.358827061727513e-36,True,27.10711963382244
2692,30985.0,3.743657265272081e-38,-0.7721410392061541,0.7721410392061541,0.592587756504738,0.28847273561187126,0.19328286235669118,0.16291926078939176,higher_in_high_progress,9.020011857973202e-36,True,27.05952280202375
1179,30919.0,8.484697048712012e-38,-0.7683662672652922,0.7683662672652922,0.4632099121510186,0.06800030377745768,0.19214771279134568,0.27111309179301474,higher_in_high_progress,1.9307399506402447e-35,True,26.673278837637728
2677,30905.0,1.0087656567283853e-37,-0.7675655580657152,0.7675655580657152,0.28388304282776655,-0.12450381948841104,0.23919277091681168,0.23313565416197932,higher_in_high_progress,2.1746863841891927e-35,True,26.605820495603627
2470,30883.0,1.3235272673253336e-37,-0.7663073007520946,0.7663073007520946,0.1357413884389269,-0.3199007459203364,0.29557383642057616,0.20232903436914393,higher_in_high_progress,2.710583843482283e-35,True,26.488896306228984
