episode_id,suite,progress_logit_delta,action_shift_l2,translation_shift_l2,rotation_shift_l2,gripper_shift_abs
rollout_000331,goal,0.7547265233535376,0.02145490272813228,0.02000344866625171,0.007458735830741638,0.0021312325864301096
rollout_000406,spatial,0.42258856902751907,0.019217585840144914,0.018775438333936,0.0035823790259167775,0.0019912512163402507
rollout_000165,goal,1.17124988002963,0.040011715854358434,0.024188767128924635,0.01663030813745347,0.027189589949940807
rollout_000437,long,0.6561413461245849,0.040465444467593356,0.03653860223386408,0.006464404728677972,0.01614293078282847
rollout_000701,goal,1.0392039673614697,0.028488460114462526,0.02630152100367494,0.010939719616298731,0.00038064064856102586
rollout_000656,goal,1.492750404328596,0.04349458142603813,0.028936294468928984,0.0179104560169173,0.027086621072030415
rollout_000693,object,-0.20555923842159673,0.012773691789808748,0.012485296063418137,0.0026914011724372047,0.00020234593849788318
rollout_000627,goal,0.8200092420897915,0.031822822649110814,0.01758414106120419,0.014391005941181001,0.022279788430264014
rollout_000527,object,0.1961756456997643,0.005770769094925809,0.0047569903348070545,0.0010388530868876275,0.0030973542201961912
rollout_000003,goal,0.886307492086444,0.025704332016225292,0.024409050323408767,0.007624165196644236,0.002604429258767027
rollout_000646,goal,1.5374390713760508,0.054108739201869455,0.036667756980705,0.018489390405652402,0.035233133531482164
rollout_000095,goal,0.687649386905095,0.021806227435350666,0.019151011747551426,0.007549431320720827,0.00719419145846889
rollout_000427,goal,0.6229541431465906,0.022264723674560814,0.02007450136781158,0.006071655633323698,0.007474443993275237
rollout_000687,goal,0.8815593046622503,0.04126366763339371,0.026858871603017063,0.01416868067437818,0.027938141862323795
rollout_000062,goal,0.6207167748592335,0.0206401321451512,0.019949451472425873,0.004939133975156002,0.001907720234753718
rollout_000195,goal,0.7198182173446579,0.027912317601355388,0.024102816672957095,0.007802995411146806,0.011716013183774465
rollout_000669,goal,1.080646255111822,0.027500992379697838,0.02664135915723413,0.00372792134165033,0.005713594892353124
rollout_000697,goal,0.6536021670203924,0.020453535344607757,0.017972862461222483,0.008128593971245886,0.00540826063478117
rollout_000155,long,0.39874505754857736,0.013463678079029094,0.013097794320415532,0.002950963559283593,0.0010050997102772907
rollout_000716,long,0.4330024749861572,0.01955186913366028,0.01904024162002728,0.003569230694842602,0.0026467674468588775
rollout_000387,goal,1.0389007008749545,0.039935212707984696,0.03471996035237433,0.00884133642770147,0.017640190966475844
rollout_000246,goal,0.9272337812286806,0.02422384190681864,0.02352860431184022,0.005728941332128844,0.0006152455415706637
rollout_000359,goal,0.9406140756386083,0.02532319963805027,0.02446478858784349,0.004397205048248039,0.004837679921649851
rollout_000030,goal,0.6168431542339317,0.019128042157675138,0.017792570414787812,0.00701391069455563,0.00033390356304330293
rollout_000289,goal,0.7091672870240187,0.02287109122676535,0.02163476549231449,0.007292743662913406,0.0013563280807450395
rollout_000339,goal,0.9248878245684842,0.023831960503748736,0.0230249580410849,0.006146984845095878,0.00016800587097176578
rollout_000530,goal,0.8997471876711565,0.032445207604031676,0.029327457496580746,0.0072342311083134,0.011843041565682166
rollout_000202,spatial,0.44604236231025096,0.020013157687672926,0.019489796222129496,0.0037400280665827977,0.002585829443853882
rollout_000215,long,0.4225885690275186,0.019217583811098508,0.01877543615776578,0.003582379635166668,0.0019912510569488617
rollout_000487,long,0.42258856902751774,0.019217586458446255,0.0187754396395125,0.0035823772852572517,0.0019912480048834835
rollout_000366,long,0.43611001928586457,0.019665573344542175,0.01912904112435815,0.0035686724398959193,0.0028423823896354117
rollout_000738,goal,1.5306045508245276,0.054826462365229554,0.033161410128064985,0.0194201815852043,0.0391039435479581
rollout_000269,goal,0.8195773231611243,0.026075025583462624,0.020672900802799685,0.005762103742179472,0.014810006483462312
rollout_000362,goal,0.8590202158890952,0.024858544690032996,0.022843767046884633,0.005304288935005415,0.008244638870685272
rollout_000667,goal,1.0383935609837733,0.027702219443221265,0.02684792631201423,0.006781085740828818,0.000786569132732895
rollout_000198,goal,0.9032149182958564,0.031118009147747008,0.022293059545961297,0.010835580394489593,0.0188132981402529
rollout_000416,goal,0.6279330145395878,0.02265874191347337,0.02049832298376658,0.0035654642934676325,0.00897356140707739
rollout_000686,object,0.056386382919999534,0.028267028407054907,0.027032322755617167,0.0020710647862940187,0.007999319474328082
