model,layer,active_feature_pct,fvu,safety_auroc_quick_lr
layer16,16,35.260009765625,0.5429636716842652,0.8777238175675677
layer20,20,37.939453125,0.6004915952682495,0.8760082347972974
layer24,24,30.517578125,0.632957661151886,0.8765255489864865
