feature_idx,feature_col,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,direction,in_submitted_top20,adjusted_p,significant
1215,f1215,4.966138501634927e-32,1.5202222171637452,1.5202222171637452,0.0015794093834553269,0.018917618423422884,higher_in_high_progress,False,1.157878990589386e-28,True
11644,f11644,5.184145917122839e-32,1.4474782199120169,1.4474782199120169,0.0012728021284466207,0.016247939876964327,higher_in_high_progress,False,1.157878990589386e-28,True
3504,f3504,1.3678294062469054e-31,1.5129938670348164,1.5129938670348164,0.0018001807942748657,0.01964571924899959,higher_in_high_progress,False,1.746987266518643e-28,True
9712,f9712,1.5643494663251784e-31,1.5113414321178555,1.5113414321178555,0.0017194756519723086,0.018670763255671585,higher_in_high_progress,False,1.746987266518643e-28,True
11836,f11836,2.3496040928138426e-31,1.4412375053656352,1.4412375053656352,0.0014238832357458403,0.016253874986432458,higher_in_high_progress,False,1.7492802470999057e-28,True
12441,f12441,2.0544070965572586e-31,1.362903551104822,1.362903551104822,0.0013659571921650995,0.014745006070254295,higher_in_high_progress,False,1.7492802470999057e-28,True
5678,f5678,9.570608387269564e-31,1.3952606877356932,1.3952606877356932,0.0011858905856299384,0.015000024503295059,higher_in_high_progress,False,6.107415380847591e-28,True
1219,f1219,2.0903249179208247e-30,1.3888131266881185,1.3888131266881185,0.0011845952608285691,0.013519315170421374,higher_in_high_progress,False,1.1671851760440405e-27,True
4135,f4135,2.875927410790597e-30,1.415334853097168,1.415334853097168,0.001969609907431959,0.0182752651707368,higher_in_high_progress,False,1.4274186382223997e-27,True
1369,f1369,3.4254057821030156e-30,1.4615201968545362,1.4615201968545362,0.0025904327185150735,0.021842831131467132,higher_in_high_progress,False,1.530128762865417e-27,True
665,f665,4.7206844519250105e-30,1.33802552613258,1.33802552613258,0.001963504439001859,0.01569563384474985,higher_in_high_progress,False,1.9170270406135474e-27,True
4932,f4932,9.984664845785939e-30,1.4405834979926242,1.4405834979926242,0.0006668154259232068,0.004323823740359044,higher_in_high_progress,False,3.716791488843815e-27,True
15198,f15198,1.945093137160486e-29,1.449696208705732,1.449696208705732,0.000991876656932627,0.0045732179337101535,higher_in_high_progress,False,6.683639264381455e-27,True
11058,f11058,2.2890805333171194e-29,1.2722541150949391,1.2722541150949391,0.0015736923681849448,0.014409747912221495,higher_in_high_progress,False,7.303801958805409e-27,True
827,f827,2.514037723037023e-29,1.147131726417701,1.147131726417701,0.0015044185367630793,0.012053736671309965,higher_in_high_progress,False,7.486804339204255e-27,True
6561,f6561,1.0450067261741049e-28,1.1680581142358542,1.1680581142358542,0.0007536981646169649,0.007042857283290366,higher_in_high_progress,False,2.917528153637329e-26,True
13316,f13316,1.2975346065015147e-28,1.2005208580192284,1.2005208580192284,0.0010924726276301767,0.011294825556143057,higher_in_high_progress,False,3.220048381801259e-26,True
11911,f11911,1.2846689342640327e-28,1.1429251099152027,1.1429251099152027,0.0009746127910515697,0.010522131411794622,higher_in_high_progress,False,3.220048381801259e-26,True
13864,f13864,1.6955162071892152e-28,1.1430262513941565,1.1430262513941565,0.0007055502253624155,0.008738976236967776,higher_in_high_progress,False,3.98624784079696e-26,True
1982,f1982,2.0068931652092183e-28,1.0908019264726754,1.0908019264726754,0.00044956280567504624,0.006595487445047929,higher_in_high_progress,False,4.482395884494789e-26,True
5017,f5017,4.045283688274186e-28,1.1160657203853033,1.1160657203853033,0.0008158775497267499,0.009052313522415882,higher_in_high_progress,False,8.604896302628947e-26,True
2429,f2429,5.382540679783573e-28,1.1548139644709117,1.1548139644709117,0.0007045959120001995,0.007825927194604185,higher_in_high_progress,False,1.0929004189360554e-25,True
6629,f6629,7.959942538529664e-28,-1.224443628326318,1.224443628326318,0.009411301122027158,0.0009270834010787889,higher_in_low_progress,False,1.5459592747657395e-25,True
