scheme,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,base_method,new_method,base_auroc,new_auroc,delta_auroc,delta_auroc_ci95_low,delta_auroc_ci95_high,base_pr_auc,new_pr_auc,delta_pr_auc,delta_pr_auc_ci95_low,delta_pr_auc_ci95_high
global_quartile,motion_suite_task,376,188.0,188.0,0.9968028519692168,0.9936606912595876,0.9989240447823562,0.9968127539353929,0.9938065916844445,0.9990337142710273,,motion_suite_task,,,,,,,,,,
global_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_top20,0.9968028519692168,0.997000905387053,0.0001980534178361859,-0.000169765235929234,0.0007073551497051161,0.9968127539353929,0.9970202546663033,0.00020750073091035937,-0.00016431710712893065,0.0007465680003928478
global_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_nested_top20,0.9968028519692168,0.9882582616568583,-0.008544590312358546,-0.01607187337245857,-0.0025212101398032903,0.9968127539353929,0.986679462082416,-0.010133291852976956,-0.019946334893435815,-0.0023435279532679973
global_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_full_sae,0.9968028519692168,0.9629357175192395,-0.033867134449977354,-0.0525469124738789,-0.019272513547049865,0.9968127539353929,0.9629316685722008,-0.03388108536319212,-0.05317939086655087,-0.017306956808859162
global_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_raw_pca20,0.9968028519692168,0.9799966047985513,-0.016806247170665478,-0.029459497869151762,-0.007320161533816368,0.9968127539353929,0.9801942937523705,-0.016618460183022377,-0.029444608091070183,-0.0067832093568332506
within_suite_quartile,motion_suite_task,376,188.0,188.0,0.9733759619737439,0.9562042316960996,0.9866969099152378,0.9604706348717318,0.9221955086887786,0.986400330012845,,motion_suite_task,,,,,,,,,,
within_suite_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_top20,0.9733759619737439,0.9732062019013128,-0.00016976007243107993,-0.0007382250476960673,0.00042444971883220104,0.9604706348717318,0.962657008244443,0.0021863733727112145,-0.0006731781374063828,0.008266065071991045
within_suite_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_nested_top20,0.9733759619737439,0.9708861475780897,-0.0024898143956542107,-0.019237588775517876,0.015938026898858405,0.9604706348717318,0.9712494153991074,0.010778780527375575,-0.016398768761471165,0.04737681865754732
within_suite_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_full_sae,0.9733759619737439,0.8835162969669534,-0.08985966500679043,-0.1251209650431055,-0.057482346935881945,0.9604706348717318,0.8820564047322537,-0.07841423013947812,-0.12418980890453954,-0.03037123280402165
within_suite_quartile,,376,,,,,,,,,motion_suite_task,motion_suite_task_raw_pca20,0.9733759619737439,0.9444318696242644,-0.028944092349479478,-0.046996942492201974,-0.0124281548175204,0.9604706348717318,0.9446637955038676,-0.0158068393678642,-0.04299852073337392,0.015286834449779515
